name,id,habitat,level,captured,speed,info,blood,attackPower,lifelong,bait.id,filename,price
無尾熊,1,terrestrial,1,TRUE,1,"""體重和毛色由北到南遞增，生長在南方的體型較大毛色較深，前掌所有的趾端都有彎曲程度很大的勾爪以利攀爬，後掌的第2、3趾合併成1趾，後掌前端的爪子也因應梳理身上絨毛的功能，.變成梳齒般的形狀，這種併趾(Syndactyly)是鑑別雙門齒目有袋動物的特徵之一。.以尤佳利葉(桉樹葉)為主食，而且通常只採食嫩葉及嫩莖的部位，尤佳利為澳洲的原生樹種，總類繁多。.屬樹棲夜行性動物，除非要移居、繁殖、覓食等狀況，其餘時間均在樹上，喜歡獨居，白天大部分的時間是在睡眠和休息，每天花在睡眠及休息的時間約17-20小時。.""",300,50,35,2;7,koala.png,50
狐狸,2,terrestrial,1,TRUE,1,"""狐狸繁殖率高，抗病力強，食性雜，好飼養。.毛長，耳尖，腿相對較短，吻獨狹長，似體型中等而尾蓬鬆的狗。.棲息於森林、草原、半沙漠、丘陵、地帶，居樹洞或土穴中。. 為夜行性，生殖期會結成小群，其餘時間單獨生活。.由於屬於犬科類，狐狸保有類似家犬的習性，多數的狐狸可以被人類馴服，僅有少數種類不可以。.主要以魚、蚌、蝦、蟹、蛆、鼠類、鳥類、昆蟲類小型動物為食，有時也採食一些野果。""",300,100,15,1;2;4;6,fox.png,100
熊貓,3,terrestrial,1,FALSE,1,"""一般稱作「熊貓」或「貓熊」，屬於食肉目熊科的一種哺乳動物，體色為黑白兩色。.熊貓是中國特有種，現存的主要棲息地是中國中西部四川盆地周邊的山區。.野生的熊貓生育率低，加上對生活環境的要求相當高，在中國瀕危動物紅皮書等級中評為易危物種，為中國國寶。.喜歡獨居，除了發情期之外，每隻大貓熊有單獨的活動區域，棲息在竹林分佈和水源充足的地方，晝夜兼行。.雜食性動物，主食為竹子、紅蘿蔔、窩窩頭，因竹葉熱量低，.貓熊每天要花大量時間進食（平均每隻大貓熊每天吃掉9至14公斤（20至30磅）的竹葉，以彌補其飲食中有限的能量含量），同時為免浪費熱量牠們通常保持久坐不動的靜態活動避免與同類往來。.大貓熊的圓臉為長期咬竹子練成強大下顎肌肉的結果，以比例來說，大貓熊的咬力比北極熊更大.""",450,100,30,2,panda.png,150
斑馬,4,terrestrial,1,FALSE,1,"""斑馬身上有許多的條紋，每隻的條紋都不一樣，黑白交錯的斑紋可使采采蠅等害蟲較不會寄生在牠們身上，還可調節身體的溫度，形成自然的空調系統，因為白色可反光、降溫，黑色可吸光、升溫。.斑馬的眼生在頭的兩側，視覺較闊。.在較黑暗的環境也能看得到其他東西，但其夜視能力相較肉食動物弱。.幸好斑馬的聽力頗為靈敏，環繞聽覺亦比馬好得多，耳朵更可以轉向任意方向，以補償其夜視弱點，防止在夜間輕易被肉食動物捉到。.除了視覺及聽覺，牠們的味覺跟嗅覺也相當不錯。.一般來說斑馬是社會性動物，習慣群體生活；規模較小的群體由一隻雄性斑馬及最多六隻雌性組成，較大的則由幾百隻斑馬組成.不太擅長奔跑，沒有固定的棲居地，過著遷徙性的生活。.""",450,150,25,7,zebra.png,200
非洲象,5,terrestrial,1,FALSE,1,"""適應力很強，可以在各種環境下生存，選擇棲地的條件是要有充份而乾淨的水源及足夠的食物。.象鼻的功用很多，可以用來撿拾食物、呼吸、喝水，或是把水噴到身上散熱。.耳朵長得很大，上面分布了許多微血管，可以用來散熱。.象牙可以用來打架、挖掘食物、進食以及作記號，雄象的象牙比雌象粗長；但是並不是體型越大象牙就越長，那些體型中等，不喜歡打架，也不會去撞樹的雄象，反而會有較長的象牙。.懷孕期長達22個月，是群居的動物，個體間可透過視覺、觸覺、聲音溝通，象群主要成員為雌象及他們的子女，由優勢母象領導，非常有組織，也很穩定。.領導的地位會一直持續到死亡，再由他們的長女繼承領導地位；當雌象發情時，雄象會加入象群。.非洲象體型龐大，食量驚人，常常會為了吃樹葉而摧殘樹木，有壓力或是興奮的時候也會把樹推倒，因此有人認為牠們會破壞生態，對於同類或是其他的生物都有負面的影響；.其實，在人類尚未開發非洲前，象群對棲地的破壞能減少樹木競爭，有助於樹木的更新，使環境更為多樣化。.然而，人類開發之後，象群的生存空間受到了限制，導致許多當地國家採用獵殺的手段來控制象群的數量，避免非洲象破壞耕地或房屋。.非洲南部的三個國家(辛巴威、波札那及那米比亞)已推行相關政策，鼓勵當地居民主動保育當地的野生動物與棲息環境。.""",900,50,40,2;7,elephant.png,250
老鷹,6,terrestrial,1,FALSE,1,"""老鷹屬於猛禽類，性情兇猛，肉食性，以鳥、鼠和其它小型動物為食。.嘴彎曲銳利，方便撕開及進食肉塊，腳爪具有鉤爪用來殺死獵物。.兩翼發達，善於飛翔，常在近山區的高空盤旋翱翔尋找獵物，一般多在晝間活動，棲息山林或平原地帶。.牠們還有極為銳利的視力使牠們非常善於狩獵。.鷹可以從很遠的地方看見可能的獵物，這樣特殊的視力主要是因為它們有極大而且特殊的瞳孔，可以讓進入眼睛的光線產生的繞射達到最小的程度。.鷹的雌鳥體型通常比雄鳥大，在求偶後會共同照顧蛋直到蛋孵化，年幼的鷹會被親鳥餵養至足以離開巢中，會在約6周大的時候離巢，以本能來捕獵。.""",450,200,20,1;3;6,eagle.png,250
伊蘭羚羊,7,terrestrial,1,FALSE,1,"""是非洲體型最大的羚羊，雄、雌個體差異大，雌羚體色棕褐色帶有垂直白色條紋的外衣，喉部肉垂不明顯；.雄羚羊額頭上有一叢深色毛，體色較深帶藍灰色調，年齡越大顏色越灰暗，白色條紋較不明顯，喉部肉垂比雌羚羊明顯。.不論雌雄頭上都有略成螺旋狀的角，但雄羚羊的角更厚更短。.草食性。.喜歡吃樹葉及多汁的果實，也會吃草及樹根。.成群活動，主要棲息於大草原及開闊的林地，逐水草而居沒有領域。.日行性，但是通常在晨昏及夜晚覓食、活動，天氣太熱時則躲在陰涼處。.群體中的雄羚羊有階級制度，位階高的雄羚羊享有交配權利。.""",600,150,25,7,eland.png,250
長頸鹿,8,terrestrial,1,FALSE,1,"""棲居於非洲疏林草原或是開放疏林，是世界上最高的哺乳動物。.以食用含羞草亞科為主的木本植物的樹葉、水果以及花朵為生，它們雖然屬於食草動物，但也會被屍體吸引，舔拭骨頭上的乾肉。.作為反芻動物，它們會先咀嚼食物，吞下並稍微消化後，半消化的食物會再回到口中繼續咀嚼。.除了具備身高優異以外，還有一雙突出的大眼睛位於頭部兩側，讓長頸鹿擁有良好的全方位視覺。.擁有色覺，聽力和嗅覺也十分敏銳。.長頸鹿可以利用肌肉控制鼻孔的開閉以防止沙塵和螞蟻進入。.舌頭呈現能預防曬傷的紫黑色，花紋由深色的斑塊和淺色的網紋組成，提供偽裝的功能，越成熟的雄鹿毛色越深，斑紋下的深色皮膚具有調節體溫的功用。.為群居動物，可能根據親屬，性別或其他因素形成群體或成對，形成長期的社交關係，另外還有請其他長頸鹿照看幼崽，自己去別處覓食、飲水的「托嬰」現象。.""",750,100,30,2;7,giraffe.png,250
白鯊,9,aquatilia,1,FALSE,1,"""屬於活化石物種，是世上最大的掠食性魚類，在所有主要海洋的沿海表面水域都能找到。.與多數鯊魚相同是機會主義者，於適當時機見到適合的獵物就會攻擊，並無所謂理不理想的獵物。.大白鯊是卵胎生的魚類，卵在雌鯊的子宮中成熟，幼鯊孵出後繼續待在子宮並繼續生長直到出生。.每胎可能產出6~20尾幼鯊，剛出生的幼鯊約1.2~1.5公尺。.以魚類、海洋哺乳類、海洋爬蟲類、海洋無脊椎動物和海鳥為食，與虎鯨為競爭關係。.大白鯊的瞬間游速可達時速約56公里，屬少數半恆溫的動物，牠們利用因流過尾部肌肉而升溫的靜脈血來保持動脈血的溫度，.以此效果保持在攝氏23至26的溫度。.""",300,250,35,6,shark.png,250
花豹,10,terrestrial,1,FALSE,1,"""夜行性，除了母親與幼獸以外皆單獨行動。.只要有適量的獵物及遮蔽處就能生存，適應多種不同環境但偏愛有樹林的地區，敏捷靈巧，善於爬樹，也會游泳但一般會避開水，不像老虎般喜愛泡水，樹棲性比較強.豹的視力及聽覺發達，常從樹上撲向獵物，有時會將到手的獵物拖回樹上。.用餐時從腹部吃起，常會先吃下獵物的內臟和四肢，剩餘的食物會用厚厚的覆蓋物隱藏起來儲存在樹杈上。.""",450,250,20,1;3,puma.png,300
抹香鯨,11,aquatilia,1,FALSE,1,"""抹香鯨是體型最大的齒鯨，廣泛分布於全世界不結冰的海域，從赤道到兩極都可發現牠們的?跡，其中以深且富生產力的海域為最常出沒在水深超過一千公尺的地方，世界三大洋均可見到抹香鯨的身影，.也有季節性的洄游習性，以多種槍烏賊和深海魚為主要食物。.同時具有動物界中最大體積的腦，能製造出品質良好的鯨油和鯨腦油，是人類早期重要的獵捕對象。.像其他的齒鯨一樣，抹香鯨的牙齒切片也具有一明一暗的齒質組成，可用作推估年齡。.只有左側鼻孔暢通用來呼吸，右側的鼻孔天生阻塞，因此抹香鯨在浮出水面呼吸時，噴氣柱以約45°角向左前方噴出; 這獨特的抹香鯨噴氣，在距離兩公里外的海面即可輕易辨識。.近十年來科學家仍發現抹香鯨具有複雜的社會結構且具方言性的聲音溝通，具有文化傳承的能力。.""",900,100,40,6,cachalot.png,300
犀牛 ,12,terrestrial,1,FALSE,1,"""是最大的奇蹄目動物，也是體型僅次於大象的大型陸地動物，主要分布在非洲和東南亞。.所有的犀牛基本上都是腿短和身體粗壯。.體肥笨拙，皮厚粗糙，並於肩腰等處成褶皺排列；毛被稀少而硬，甚至大部無毛；耳呈卵圓形，頭大而長，頸短粗，長唇延長伸出；.頭部有實心的獨角或雙角（有的雌性無角），起源於真皮，角脫落仍能復生；無犬齒。犀牛多數生存於開闊的草地，稀樹草原，灌木林或沼澤地，喜好獨居，多數時候都會避開人類。.但在交配季節時期的 雄犀牛，或帶領小犀牛的雌犀牛，稍受刺激就會攻擊任何目標，包括人類。.""",750,200,35,7,rhino.png,350
海馬,13,aquatilia,1,FALSE,1,,250,15,20,5,,150
海豚,14,aquatilia,1,FALSE,1,,350,30,30,4;6,,350
龍蝦,15,aquatilia,1,FALSE,1,,300,25,50,4;5,,300
海豹,16,aquatilia,1,TRUE,1,,800,5,30,6,,250
獅子魚,17,aquatilia,1,FALSE,1,,350,30,35,4;6,,200
魟魚,18,aquatilia,1,TRUE,1,,400,20,25,4;6,,200
劍魚,19,aquatilia,1,FALSE,1,,250,30,25,4;6,,200
無尾熊,20,terrestrial,1,TRUE,1,,300,20,35,2;7,koalaEnemy.png,25
狐狸,21,terrestrial,1,TRUE,1,,300,20,15,1;2;4;6,foxEnemy.png,50
斑馬,22,terrestrial,1,FALSE,1,,450,15,25,7,zebraEnemy.png,100
非洲象,23,terrestrial,1,FALSE,1,,900,10,40,2;7,elephantEnemy.png,125
熊貓,24,terrestrial,1,FALSE,1,,450,20,30,2,pandaEnemy.png,125
老鷹,25,terrestrial,1,FALSE,1,,450,50,20,1;3;6,eagleEnemy.png,125
伊蘭羚羊,26,terrestrial,1,FALSE,1,,600,30,25,7,elandEnemy.png,125
長頸鹿,27,terrestrial,1,FALSE,1,,750,50,30,2;7,giraffeEnemy.png,125
白鯊,28,aquatilia,1,FALSE,1,,300,250,35,6,sharkEnemy.png,125
花豹,29,terrestrial,1,FALSE,1,,450,70,20,1;3,pumaEnemy.png,150
抹香鯨,30,aquatilia,1,FALSE,1,,900,35,40,6,cachalotEnemy.png,150
犀牛 ,31,terrestrial,1,FALSE,1,,750,200,35,7,rhinoEnemy.png,175
